artist,artist_href,life,num_artworks
Mark Dion,/en/mark-dion,born 1961,11
Karl Edvard Diriks,/en/karl-edvard-diriks,1855 - 1930,14
Martin Disler,/en/martin-disler,1949 - 1996,17
Otto Dix,/en/otto-dix,1891 - 1969,128
Maynard Dixon,/en/maynard-dixon,1875 - 1946,33
Dmytro Kavsan,/en/dmytro-kavsan,born 1964,62
Dobri Dobrev,/en/dobri-dobrev,1898 - 1973,21
Vasile Dobrian,/en/vasile-dobrian,1912 - 1999,70
William Dobson,/en/william-dobson,1611 - 1646,23
Mstislav Dobuzhinsky,/en/mstislav-dobuzhinsky,1875 - 1957,165
Theo van Doesburg,/en/theo-van-doesburg,1883 - 1931,184
Burhan Dogancay,/en/burhan-dogancay,1929 - 2013,63
Peter Doig,/en/peter-doig,born 1959,42
Robert Doisneau,/en/robert-doisneau,1912 - 1994,15
Cesar Domela,/en/cesar-domela,1900 - 1992,34
Oscar Dominguez,/en/oscar-dominguez,1906 - 1958,22
Donatello,/en/donatello,c.1386 - 1466,16
Enrico Donati,/en/enrico-donati,1909 - 2008,24
Dondi,/en/dondi,1961 - 1998,13
Antonio Donghi,/en/antonio-donghi,1897 - 1963,24
Piero Dorazio,/en/piero-dorazio,1927 - 2005,25
Gustave Dore,/en/gustave-dore,1832 - 1883,760
Achille D'Orsi,/en/achille-dorsi,1845 - 1929,14
Dosso Dossi,/en/dosso-dossi,c.1490 - 1542,40
Gerardo Dottori,/en/gerardo-dottori,1884 - 1977,20
Gerrit Dou,/en/gerrit-dou,1613 - 1675,80
Aaron Douglas,/en/aaron-douglas,1899 - 1979,17
Luis Dourdil,/en/luis-dourdil,1914 - 1989,12
Arthur Dove,/en/arthur-dove,1880 - 1946,24
Thomas Downing,/en/thomas-downing,1928 - 1985,48
Peter Downsbrough,/en/peter-downsbrough,born 1940,10
Dr. Atl,/en/dr-atl,1875 - 1964,15
Herbert James Draper,/en/herbert-james-draper,1863 - 1920,56
Peter Dreher,/en/peter-dreher,born 1932,10
Rosalyn Drexler,/en/rosalyn-drexler,born 1926,17
Jean Lecomte du Nouÿ,/en/jean-lecomte-du-nouy,1842 - 1923,19
Ferdinand du Puigaudeau,/en/ferdinand-du-puigaudeau,1864 - 1930,78
Paul du Toit,/en/paul-du-toit,born 1965,20
Albert Dubois-Pillet,/en/albert-dubois-pillet,1846 - 1890,23
Jean-Francois Dubreuil,/en/jean-francois-dubreuil,born 1946,10
Pierre Dubreuil,/en/pierre-dubreuil,1872 - 1944,13
Jean Dubuffet,/en/jean-dubuffet,1901 - 1985,71
Duccio,/en/duccio,c.1255 - c.1318,135
Marcel Duchamp,/en/marcel-duchamp,1887 - 1968,83
Suzanne Duchamp,/en/suzanne-duchamp,1889 - 1963,10
Joseph Ducreux,/en/joseph-ducreux,1735 - 1802,11
Raoul Dufy,/en/raoul-dufy,1877 - 1953,161
Edmund Dulac,/en/edmund-dulac,1882 - 1953,96
Marlene Dumas,/en/marlene-dumas,born 1953,27
Natalia Dumitresco,/en/natalia-dumitresco,1915 - 1997,15
Sorin Dumitrescu,/en/sorin-dumitrescu,born 1946,30
John Duncan,/en/john-duncan,1866 - 1945,49
Jean Dupas,/en/jean-dupas,1882 - 1964,26
Joseph Duplessis,/en/joseph-duplessis,1725 - 1802,34
Jules Dupre,/en/jules-dupre,1811 - 1889,26
Asher Brown Durand,/en/asher-brown-durand,1796 - 1886,82
Albrecht Durer,/en/albrecht-durer,1471 - 1528,846
Jimmie Durham,/en/jimmie-durham,born 1940,19
Rene Duvillier,/en/rene-duvillier,1919 - 2002,42
Willem Cornelisz Duyster,/en/willem-cornelisz-duyster,1599 - 1635,24
Mustafa Duzgunman,/en/mustafa-duzgunman,1920 - 1990,50
Dusan Dzamonja,/en/dusan-dzamonja,1928 - 2009,4
Friedel Dzubas,/en/friedel-dzubas,1915 - 1994,85
Thomas Eakins,/en/thomas-eakins,1844 - 1916,306
Ralph Earl,/en/ralph-earl,1751 - 1801,16
Eyvind Earle,/en/eyvind-earle,1916 - 2000,422
Christian Eckart,/en/christian-eckart,born 1959,10
Christoffer Wilhelm Eckersberg,/en/christoffer-wilhelm-eckersberg,1783 - 1853,23
Otto Eckmann,/en/otto-eckmann,1865 - 1902,18
Albert Edelfelt,/en/edelfelt-albert,1854 - 1905,83
Auguste Edouart,/en/auguste-edouart,1789 - 1861,12
Edward Ladell,/en/edward-ladell,1821 - 1886,10
Albin Egger-Lienz,/en/albin-egger-lienz,1868 - 1926,105
Marjan Eggermont,/en/marjan-eggermont,born 1966,15
William Eggleston,/en/william-eggleston,born 1939,15
Anima Ehtiat,/en/anima-ehtiat,born 1980,19
Keisai Eisen,/en/keisai-eisen,1790 - 1848,96
Hakuin Ekaku,/en/hakuin-ekaku,c.1686 - c.1769,38
Aleksandra Ekster,/en/aleksandra-ekster,1882 - 1949,51
El Greco,/en/el-greco,1541 - 1614,169
El Lissitzky,/en/el-lissitzky,1890 - 1941,79
Lili Elbe,/en/lili-elbe,1882 - 1931,25
Micaela Eleutheriade,/en/micaela-eleutheriade,1900 - 1982,24
Olafur Eliasson,/en/olafur-eliasson,born 1967,19
Mario Eloy,/en/mario-eloy,1900 - 1951,13
Adam Elsheimer,/en/adam-elsheimer,1578 - 1610,81
Mir Emad Hassani,/en/mir-emad-hassani,1554 - 1615,12
Mirza Agha Emami,/en/mirza-agha-emami,1881 - 1955,5
Tracey Emin,/en/tracey-emin,born 1963,12
Magnus Enckell,/en/magnus-enckell,1870 - 1925,80
Ende,/en/ende,fl.c. 975,33
Enji Torei,/en/enji-torei,1721 - 1792,12
James Ensor,/en/james-ensor,1860 - 1949,46
Jacob Epstein,/en/jacob-epstein,1880 - 1959,12
Epsylon Point,/en/epsylon-point,born 1950,13
Adalbert Erdeli,/en/adalbert-erdeli,1891 - 1955,40
Eric Massholder,/en/erik-masskholder,born 1960,8
Erik Sigerud,/en/erik-sigerud,born 1977,11
Ayse Erkmen,/en/ayse-erkmen,born 1949,20
Ali Omar Ermes,/en/ali-omar-ermes,born 1945,12
Jimmy Ernst,/en/jimmy-ernst,1920 - 1984,47
Max Ernst,/en/max-ernst,1891 - 1976,368
Rudolf Ernst,/en/rudolf-ernst,1854 - 1932,68
Erol Akyavaş,/en/erol-akyavas,1932 - 1999,13
Erro,/en/erro,born 1932,37
Erte,/en/erte,1892 - 1990,371
Elliott Erwitt,/en/elliott-erwitt,born 1928,21
Jose Escada,/en/jose-escada,1934 - 1980,20
M.C. Escher,/en/m-c-escher,1898 - 1972,470
Marisol Escobar,/en/marisol-escobar,born 1930,15
Lalla Essaydi,/en/lalla-essaydi,born 1956,67
Richard Estes,/en/richard-estes,born 1932,16
Maurice Esteve,/en/maurice-esteve,1904 - 2001,65
Bracha L. Ettinger,/en/bracha-l-ettinger,born 1948,21
Eugene Bidau,/en/eugene-bidau,1839 - 1899,9
Frank Eugene,/en/frank-eugene,1865 - 1936,32
Richard Eurich,/en/richard-eurich,1903 - 1992,30
Philip Evergood,/en/philip-evergood,1901 - 1973,25
Fred Eversley,/en/fred-eversley,born 1941,13
Julius Evola,/en/julius-evola,1898 - 1974,15
Ivan Eyre,/en/ivan-eyre,born 1935,42
Fab 5 Freddy,/en/fab-5-freddy,born 1960,10
Gentile da Fabriano,/en/gentile-da-fabriano,c.1370 - 1427,45
Carel Fabritius,/en/carel-fabritius,1622 - 1654,19
Giandomenico Facchina,/en/giandomenico-facchina,1826 - 1904,11
Facundus,/en/facundus,fl.c. 1050,54
Oyvind Fahlstrom,/en/oyvind-fahlstrom,1928 - 1976,28
Julian Fałat,/en/julian-falat,1853 - 1929,7
Luis Ricardo Falero,/en/luis-ricardo-falero,1851 - 1896,17
Robert Falk,/en/robert-falk,1886 - 1958,28
Wojciech Fangor,/en/wojciech-fangor,born 1922,17
Henri Fantin-Latour,/en/henri-fantin-latour,1836 - 1904,289
Istvan Farkas,/en/istvan-farkas,1887 - 1944,22
Joseph Farquharson,/en/joseph-farquharson,1846 - 1935,84
Mahmoud Farshchian,/en/mahmoud-farshchian,born 1930,20
Ralph Fasanella,/en/ralph-fasanella,1914 - 1997,25
Giovanni Fattori,/en/giovanni-fattori,1825 - 1908,40
Jean Fautrier,/en/jean-fautrier,1898 - 1964,43
Fayum portrait,/en/fayum-portrait,c.50 - c.250,76
Thomas Fearnley,/en/thomas-fearnley,1802 - 1842,1
Mary Fedden,/en/mary-fedden,1915 - 2012,67
Helmut Federle,/en/helmut-federle,born 1944,11
Pavel Fedotov,/en/pavel-fedotov,1815 - 1852,42
Paul Feeley,/en/paul-feeley,1910 - 1966,48
Tony Feher,/en/tony-feher,born 1956,15
Lyonel Feininger,/en/lyonel-feininger,1871 - 1956,68
Lorser Feitelson,/en/lorser-feitelson,1898 - 1978,24
Luis Feito,/en/luis-feito,born 1929,44
Manuel Felguérez,/en/manuel-felguerez,1928 - 2020,15
Peter Fendi,/en/peter-fendi,1796 - 1842,35
Lin Fengmian,/en/lin-fengmian,1900 - 1991,33
Ferenc Pinter,/en/ferenc-pinter,1931 - 2008,1
Karoly Ferenczy,/en/karoly-ferenczy,1862 - 1917,31
John Duncan Fergusson,/en/john-duncan-fergusson,1874 - 1961,19
Gohar Fermanyan ,/en/gohar-fermanyan,1899 - 1958,3
Defendente Ferrari,/en/defendente-ferrari,c.1480 - c.1540,17
Leon Ferrari,/en/leon-ferrari,1920 - 2013,21
Jose Ferraz de Almeida Junior,/en/jose-ferraz-de-almeida-junior,1850 - 1899,65
John Ferren,/en/john-ferren,1905 - 1970,48
Roberto Ferri,/en/roberto-ferri,born 1978,13
Gabriel Ferrier,/en/gabriel-ferrier,1847 - 1914,11
Jean Leon Gerome Ferris,/en/jean-leon-gerome-ferris,1863 - 1930,22
Tano Festa,/en/tano-festa,1938 - 1988,42
Rainer Fetting,/en/rainer-fetting,born 1949,10
Arshak Fetvadjian,/en/arshak-fetvadjian,1866 - 1947,4
Domenico Fiasella,/en/domenico-fiasella,1589 - 1669,22
Pedro Figari,/en/pedro-figari,1861 - 1938,3
Luke Fildes,/en/luke-fildes,1843 - 1927,32
Emil Filla,/en/emil-filla,1882 - 1953,17
Robert Filliou,/en/robert-filliou,1926 - 1987,32
Pavel Filonov,/en/pavel-filonov,1883 - 1941,101
Alfred William Finch,/en/alfred-william-finch,1854 - 1930,37
Spencer Finch,/en/spencer-finch,born 1962,12
Perle Fine,/en/perle-fine,1905 - 1988,57
Leonor Fini,/en/leonor-fini,1908 - 1996,18
Howard Finster,/en/howard-finster,1916 - 2001,37
Rosso Fiorentino,/en/rosso-fiorentino,1494 - 1540,21
Eric Fischl,/en/eric-fischl,born 1948,80
Janet Fish,/en/janet-fish,born 1938,25
Harrison Fisher,/en/harrison-fisher,1875 - 1934,71
Audrey Flack,/en/audrey-flack,born 1931,24
Dan Flavin,/en/dan-flavin,1933 - 1996,23
Konstantin Flavitsky,/en/konstantin-dmitriyevich-flavitsky,1830 - 1866,7
John Flaxman,/en/john-flaxman,1755 - 1826,135
Adolf Fleischmann,/en/adolf-fleischmann,1892 - 1968,23
Constantin Flondor,/en/constantin-flondor,born 1936,54
Thalia Flora-Karavia,/en/thalia-flora-karavia,1871 - 1960,26
George Folingsby,/en/george-folingsby,1828 - 1891,11
Franco Fontana,/en/franco-fontana,born 1933,16
Lavinia Fontana,/en/lavinia-fontana,1552 - 1614,23
Lucio Fontana,/en/lucio-fontana,1899 - 1968,22
Gustavo Foppiani,/en/gustavo-foppiani,1925 - 1986,17
Gunther Forg,/en/gunther-forg,1953 - 2013,42
Fornasetti,/en/fornasetti,1913 - 1988,18
Eleanor Fortescue-Brickdale,/en/eleanor-fortescue-brickdale,1872 - 1945,122
Simone Forti,/en/simone-forti,born 1935,15
Marià Fortuny,/en/maria-fortuny,1838 - 1874,179
Alan Stephens Foster,/en/alan-stephens-foster,1892 - 1934,15
William Gilbert Foster,/en/william-gilbert-foster,1855 - 1906,16
Tsuguharu Foujita,/en/tsuguharu-foujita,1886 - 1968,161
Jean Fouquet,/en/jean-fouquet,1420 - 1481,115
Fra Angelico,/en/fra-angelico,c.1395 - 1455,168
Fra Bartolomeo,/en/fra-bartolomeo,1472 - 1517,16
Jean-Honore Fragonard,/en/jean-honore-fragonard,1732 - 1806,70
Esteban Frances,/en/esteban-frances,1913 - 1976,21
"Francesco de' Rossi (Francesco Salviati), ""Cecchino""",/en/francesco-de-rossi-francesco-salviati,1510 - 1563,132
Sam Francis,/en/sam-francis,1923 - 1994,370
Frans Francken the Younger,/en/frans-francken-the-younger,born 1581,3
Jane Frank,/en/jane-frank,1918 - 1986,12
Helen Frankenthaler,/en/helen-frankenthaler,1928 - 2011,140
Rodrigo Franzao,/en/rodrigo-franzao,born 1982,56
Frank Frazetta,/en/frank-frazetta,1928 - 2010,19
Allan Randall Freelon,/en/allan-randall-freelon,1895 - 1960,15
Greta Freist,/en/greta-freist,1909 - 1993,15
Roger de La Fresnaye,/en/roger-de-la-fresnaye,1885 - 1925,30
Lucian Freud,/en/lucian-freud,1922 - 2011,283
Otto Freundlich,/en/otto-freundlich,1878 - 1943,15
Émile Friant,/en/emile-friant,1863 - 1932,58
Caspar David Friedrich,/en/caspar-david-friedrich,1774 - 1840,122
Richard Friese,/en/richard-friese,1854 - 1918,25
Frederick Carl Frieseke,/en/frederick-carl-frieseke,1874 - 1939,42
Othon Friesz,/en/othon-friesz,1879 - 1949,22
Gerard Fromanger,/en/gerard-fromanger,born 1939,27
Terry Frost,/en/terry-frost,1915 - 2003,35
Brian Froud,/en/brian-froud,born 1947,12
Gunter Fruhtrunk,/en/gunter-fruhtrunk,1923 - 1982,22
Roger Fry,/en/roger-fry,1866 - 1934,19
Fu Baoshi,/en/fu-baoshi,1904 - 1965,17
Ernst Fuchs,/en/ernst-fuchs,born 1930,67
Fujishima Takeji,/en/fujishima-takeji,1867 - 1943,188
Isaac Fuller,/en/isaac-fuller,c.1606 - 1672,8
Kerry O. Furlani,/en/kerry-o-furlani,born 1962,12
Henry Fuseli,/en/henry-fuseli,1741 - 1825,29
Futura 2000,/en/futura-2000,born 1955,10
Ethel Léontine Gabain,/en/ethel-leontine-gabain,1883 - 1950,45
Naum Gabo,/en/naum-gabo,1890 - 1977,16
Clarence Gagnon,/en/clarence-gagnon,1881 - 1942,118
Thomas Gainsborough,/en/thomas-gainsborough,1727 - 1788,179
Julio Galan,/en/julio-galan,1958 - 2006,29
Fede Galizia,/en/fede-galizia,1578 - 1630,15
Ellen Gallagher,/en/ellen-gallagher,born 1965,14
Emile Galle,/en/emile-galle,1846 - 1904,19
Akseli Gallen-Kallela,/en/akseli-gallen-kallela,1865 - 1931,41
Sonaly Gandhi,/en/sonaly-gandhi,born 1974,40
Charles Garabedian,/en/charles-garabedian,1923 - 2016,39
Horacio Garcia-Rossi,/en/horacio-garcia-rossi,1929 - 2012,20
José Garnelo,/en/jose-santiago-garnelo-y-alda,1866 - 1944,48
Gary Wragg,/en/gary-wragg,born 1946,10
Oronzo Vito Gasparo,/en/oronzo-vito-gasparo,1903 - 1969,14
Sami Gattoufi,/en/sami-gattoufi,born 2001,19
Yves Gaucher,/en/yves-gaucher,1934 - 2000,33
Paul Gauguin,/en/paul-gauguin,1848 - 1903,516
Giovanni Battista Gaulli,/en/giovanni-battista-gaulli,1639 - 1709,71
Léo Gausson,/en/leo-gausson,1860 - 1944,55
Paul Gavarni,/en/paul-gavarni,1804 - 1866,42
Walter Gay,/en/walter-gay,1856 - 1937,6
Gazmend Freitag,/en/gazmend-freitag,born 1968,215
Nikolai Ge,/en/nikolai-ge,1831 - 1894,100
Eduard von Gebhardt,/en/eduard-von-gebhardt,1838 - 1925,17
Ilka Gedo,/en/ilka-gedo,1912 - 1985,38
Gego,/en/gego,1912 - 1994,31
Rupprecht Geiger,/en/rupprecht-geiger,1908 - 2009,24
Ogata Gekko,/en/ogata-gekko,1859 - 1920,26
Ivan Generalic,/en/ivan-generalic,1914 - 1992,95
Kogan Gengei,/en/kogan-gengei,1748 - 1821,7
Artemisia Gentileschi,/en/artemisia-gentileschi,1593 - c.1656,21
Isa Genzken,/en/isa-genzken,born 1948,16
Claude Georges,/en/claude-georges,1929 - 1988,17
Georgy Yakulov,/en/georgy-yakulov,1884 - 1928,3
François Gérard,/en/francois-gerard,1770 - 1837,31
Gaylen Gerber,/en/gaylen-gerber,born 1955,10
Theo Gerber,/en/theo-gerber,1928 - 1997,24
Théodore Géricault,/en/theodore-gericault,1791 - 1824,118
Jean-Leon Gerome,/en/jean-leon-gerome,1824 - 1904,235
Richard Gerstl,/en/richard-gerstl,1883 - 1908,75
Henri Gervex,/en/henri-gervex,1852 - 1929,15
Gunther Gerzso,/en/gunther-gerzso,1915 - 2000,37
Gevorg Bashindzhagian,/en/gevorg-bashindzhagian,1857 - 1925,8
Shadi Ghadirian,/en/shadi-ghadirian,born 1974,17
Adrian Ghenie,/en/adrian-ghenie,born 1977,24
Ion Alin Gheorghiu,/en/ion-alin-gheorghiu,1929 - 2001,35
Marin Gherasim,/en/marin-gherasim,1937 - 2017,20
Dumitru Ghiatza,/en/dumitru-ghiatza,1888 - 1972,19
Lorenzo Ghiberti,/en/ghiberti,fl.c. 1378,18
Domenico Ghirlandaio,/en/domenico-ghirlandaio,1449 - 1494,108
Alberto Giacometti,/en/alberto-giacometti,1901 - 1966,23
Giambologna,/en/giambologna,1529 - 1608,51
Gian Maria Tosatti,/en/gian-maria-tosatti,born 1980,39
Vincent Giarrano,/en/vincent-giarrano,born 1960,10
Harry Phelan Gibb,/en/harry-phelan-gibb,1870 - 1948,20
Charles Gibbons,/en/charles-gibbons,born 1957,16
John Gibson,/en/john-gibson,1790 - 1866,33
Aleksander Gierymski,/en/aleksander-gierymski,1850 - 1901,18
H.R. Giger,/en/h-r-giger,1940 - 2014,13
Piero Gilardi,/en/piero-gilardi,born 1942,15
André Gill,/en/andre-gill,1840 - 1885,13
Eric Gill,/en/eric-gill,1882 - 1940,47
Sam Gilliam,/en/sam-gilliam,born 1933,75
Liam Gillick,/en/liam-gillick,born 1964,10
Luca Giordano,/en/luca-giordano,1634 - 1705,138
Giorgione,/en/giorgione,c.1478 - 1510,51
Giotto,/en/giotto,c.1266 - 1337,136
Eugène Girardet,/en/eugene-girardet,1853 - 1907,22
Anne-Louis Girodet,/en/anne-louis-girodet,1767 - 1824,27
Alberto Gironella,/en/alberto-gironella,1929 - 1999,21
Thomas Girtin,/en/thomas-girtin,1775 - 1802,41
Alfio Giuffrida,/en/alfio-giuffrida,born 1953,73
Giuliana Lazzerini,/en/giuliana-lazzerini,born c.1951,12
William James Glackens,/en/william-james-glackens,1870 - 1938,83
Fritz Glarner,/en/fritz-glarner,1899 - 1972,14
Albert Gleizes,/en/albert-gleizes,1881 - 1953,40
Charles Gleyre,/en/charles-gleyre,1806 - 1874,37
John Glover,/en/john-glover,1767 - 1849,21
Domenico Gnoli,/en/domenico-gnoli,1933 - 1970,17
Robert Gober,/en/robert-gober,born 1954,10
John William Godward,/en/john-william-godward,1861 - 1922,133
Mathias Goeritz,/en/mathias-goeritz,1915 - 1990,37
Ralph Goings,/en/ralph-goings,born 1928,32
Chaim Goldberg,/en/chaim-goldberg,born 1917,8
Nan Goldin,/en/nan-goldin,born 1953,21
Grigoriy Goldstein,/en/goldstein-grigoriy,1878 - 1938,16
Hendrick Goltzius,/en/hendrick-goltzius,c.1558 - 1617,52
Nuno Gonçalves,/en/nuno-goncalves,c.1420 - 1491,10
Natalia Goncharova,/en/natalia-goncharova,1881 - 1962,66
Kuno Gonschior,/en/kuno-gonschior,1933 - 2010,15
Eva Gonzales,/en/eva-gonzales,1849 - 1883,23
Beatriz González,/en/beatriz-gonzalez,born 1938,19
Julio Gonzalez,/en/julio-gonzalez,1876 - 1942,18
Dominique Gonzalez-Foerster,/en/dominique-gonzalez-foerster,born 1965,11
Felix Gonzalez-Torres,/en/felix-gonzalez-torres,1957 - 1996,18
Joe Goode,/en/joe-goode,born 1937,26
Robert Goodnough,/en/robert-goodnough,1917 - 2010,98
Agnes Goodsir,/en/agnes-goodsir,1864 - 1939,13
Betty Goodwin,/en/betty-goodwin,1923 - 2008,12
Goran Despotovski,/en/goran-despotovski,born 1972,8
Apollinary Goravsky,/en/apollinariy-goravskiy,1833 - 1900,12
Konstantin Gorbatov,/en/konstantin-ivanovich-gorbatov,c.1876 - c.1945,254
Ron Gorchov,/en/ron-gorchov,born 1930,16
Arshile Gorky,/en/arshile-gorky,c.1904 - 1948,77
Antony Gormley,/en/antony-gormley,born 1950,12
Dumitru Gorzo,/en/dumitru-gorzo,born 1975,15
Adolph Gottlieb,/en/adolph-gottlieb,1903 - 1974,65
Maurycy Gottlieb,/en/maurycy-gottlieb,1856 - 1879,19
Karl Otto Gotz,/en/karl-otto-gotz,born 1914,14
Jacob Peter Gowy,/en/jacob-peter-gowy,c.1610 - c.1650,3
Francisco Goya,/en/francisco-goya,1746 - 1828,390
Benozzo Gozzoli,/en/benozzo-gozzoli,c.1421 - 1497,145
Igor Grabar,/en/igor-grabar,1871 - 1960,194
Camille Graeser,/en/camille-graeser,1892 - 1980,20
Gerhard von Graevenitz,/en/gerhard-von-graevenitz,1934 - 1983,13
Matthias Laurenz Gräff,/en/matthias-laurenz-graff,born 1984,20
Walter Gramatté,/en/walter-gramatte,1897 - 1929,68
Grandma Moses,/en/grandma-moses,1860 - 1961,38
Justin Earl Grant,/en/justin-earl-grant,born 1980,10
Speedy Graphito,/en/speedy-graphito,born 1961,16
Eugène Grasset,/en/eug-ne-grasset,1845 - 1917,45
Enrique Grau,/en/enrique-grau,1920 - 2004,15
Emilio Grau Sala,/en/emilio-grau-sala,1911 - 1975,18
Gotthard Graubner,/en/gotthard-graubner,1930 - 2013,24
Morris Graves,/en/morris-graves,1910 - 2001,28
Nancy Graves,/en/nancy-graves,1939 - 1995,12
Denise Green,/en/denise-green,born 1946,15
Balcomb Greene,/en/balcomb-greene,1904 - 1990,22
Giorgio Griffa,/en/giorgio-griffa,born 1936,16
Grigor Khanjyan,/en/grigor-khanjyan,1926 - 2000,6
Gregorio Sciltian,/en/gregorio-sciltian,1898 - 1985,3
Ion Grigorescu,/en/ion-grigorescu,born 1944,2
Lucian Grigorescu,/en/lucian-grigorescu,1894 - 1965,34
Nicolae Grigorescu,/en/nicolae-grigorescu,1838 - 1907,46
Boris Grigoriev,/en/boris-grigoriev,1886 - 1939,42
Sergiy Grigoriev,/en/sergiy-grigoriev,1910 - 1988,44
John Atkinson Grimshaw,/en/john-atkinson-grimshaw,1836 - 1893,145
Juan Gris,/en/juan-gris,1887 - 1927,205
Alexis Gritchenko,/en/alexis-gritchenko,1883 - 1977,24
Ivan Grohar,/en/ivan-grohar,1867 - 1911,23
Red Grooms,/en/red-grooms,born 1937,18
Antoine-Jean Gros,/en/antoine-jean-gros,1771 - 1835,28
Robert Grosvenor,/en/robert-grosvenor,born 1937,12
George Grosz,/en/george-grosz,1893 - 1959,258
Jan Groth,/en/jan-groth,born 1938,15
Francis Gruber,/en/francis-gruber,1912 - 1948,27
Jules-Alexandre Grun,/en/jules-alexandre-grun,1868 - 1938,29
Matthias Grünewald,/en/matthias-grunewald,c.1470 - 1528,108
Eduard von Grützner,/en/eduard-von-grutzner,1846 - 1925,15
Wang Guangyi,/en/wang-guangyi,born 1957,19
Guanxiu,/en/guanxiu,832 - 912,16
Wu Guanzhong,/en/wu-guanzhong,1919 - 2010,47
Francesco Guardi,/en/francesco-guardi,1712 - 1793,67
Luigi Guardigli,/en/luigi-guardigli,1923 - 2008,23
Oswaldo Guayasamin,/en/oswaldo-guayasamin,1919 - 1999,34
Max Gubler,/en/max-gubler,1898 - 1973,25
Hans Gude,/en/hans-gude,1825 - 1903,84
Kaloust Guedel,/en/kaloust-guedel,born 1956,18
Guercino,/en/guercino,1591 - 1666,64
Pierre-Narcisse Guerin,/en/pierre-narcisse-guerin,1774 - 1833,50
Jose Guerrero,/en/jose-guerrero,1914 - 1991,31
O. Louis Guglielmi,/en/o-louis-guglielmi,1906 - 1956,34
Guido Viaro,/en/guido-viaro,1897 - 1971,5
Alberto da Veiga Guignard,/en/guignard,1896 - 1962,52
Armand Guillaumin,/en/armand-guillaumin,1841 - 1927,59
Hélène Guinepied,/en/helene-guinepied,1883 - 1937,17
Paul Guiragossian,/en/paul-guiragossian,1926 - 1993,17
Lajos Gulacsy,/en/lajos-gulacsy,1882 - 1932,23
Guntis Strupulis,/en/guntis-strupulis,1933 - 1974,28
Guo Xi,/en/guo-xi,c.1020 - c.1090,7
Andreas Gursky,/en/andreas-gursky,born 1955,14
Gustav Adolf Mossa,/en/gustav-adolf-mossa,1883 - 1971,15
Philip Guston,/en/philip-guston,1913 - 1980,73
Renato Guttuso,/en/renato-guttuso,1911 - 1987,35
Constantin Guys,/en/constantin-guys,1802 - 1892,26
Wade Guyton,/en/wade-guyton,born 1972,10
Tihamer Gyarmathy,/en/tihamer-gyarmathy,1915 - 2005,34
Cornelis Norbertus Gysbrechts,/en/cornelis-norbertus-gysbrechts,c.1630 - c.1683,10
Brion Gysin,/en/brion-gysin,1916 - 1986,11
Nikolaos Gyzis,/en/nikolaos-gyzis,1842 - 1901,71
Ha Chong-Hyun,/en/ha-chong-hyun,born 1935,10
Hans Haacke,/en/hans-haacke,born 1936,16
Carl Haag,/en/carl-haag,1820 - 1915,45
Nikos Hadjikyriakos-Ghikas,/en/nikos-hadjikyriakos-ghikas,1906 - 1994,33
Michael Hafftka,/en/michael-hafftka,born 1953,11
Marcia Hafif,/en/marcia-hafif,born 1929,16
Etienne Hajdu,/en/etienne-hajdu,1907 - 1996,24
Maki Haku,/en/maki-haku,1924 - 2000,114
Samia Halaby,/en/samia-halaby,born 1936,13
Peter Halley,/en/peter-halley,born 1953,15
Pekka Halonen,/en/halonen-pekka,1865 - 1933,54
Frans Hals,/en/frans-hals,c.1580 - 1666,171
Philippe Halsman,/en/philippe-halsman,1906 - 1979,24
Richard Hambleton,/en/richard-hambleton,born 1952,28
Helen Augusta Hamburger,/en/helen-augusta-hamburger,1836 - 1919,8
Osman Hamdi,/en/osman-hamdi,1842 - 1910,20
Sheikh Hamdullah,/en/sheikh-hamdullah,1436 - 1520,23
Javad Hamidi,/en/javad-hamidi,1918 - 2002,17
Ann Hamilton,/en/ann-hamilton,born 1956,11
Gavin Hamilton,/en/gavin-hamilton,1723 - 1798,20
James Hamilton,/en/james-hamilton,1819 - 1878,20
Richard Hamilton,/en/richard-hamilton,1922 - 2011,65
William Hamilton,/en/william-hamilton,1751 - 1801,48
Vilhelm Hammershoi,/en/vilhelm-hammershoi,1864 - 1916,21
Frederick Hammersley,/en/frederick-hammersley,1919 - 2009,15
Harmony Hammond,/en/harmony-hammond,born 1944,15
David Hammons,/en/david-hammons,born 1943,10
Han Gan,/en/han-gan,c.706 - 783,4
Hannibal Alkhas,/en/hannibal-alkhas,1930 - 2010,16
Duane Hanson,/en/duane-hanson,1925 - 1996,20
Erin Hanson,/en/erin-hanson,born 1981,8
Simon Hantai,/en/simon-hantai,1922 - 2008,29
Heywood Hardy,/en/heywood-hardy,1842 - 1933,36
Thomas Hardy,/en/thomas-hardy,1757 - c.1805,17
David Hare,/en/david-hare,1917 - 1992,15
Keith Haring,/en/keith-haring,1958 - 1990,81
Alexei Harlamoff,/en/alexei-harlamoff,1840 - 1925,70
William Michael Harnett,/en/william-michael-harnett,1848 - 1892,11
Haroutiun Galentz,/en/haroutiun-galentz,1910 - 1967,6
Lady Frieda Harris,/en/lady-frieda-harris,c.1877 - 1962,25
Lawren Harris,/en/lawren-harris,1885 - 1970,43
Robert Harris,/en/robert-harris,1849 - 1919,16
Robert G. Harris,/en/robert-g-harris,1911 - 2007,17
William Hart,/en/william-hart,1823 - 1894,39
