artist,artist_href,life,num_artworks
Hendrick Avercamp,/en/hendrick-avercamp,c.1585 - 1634,84
Milton Avery,/en/milton-avery,1885 - 1965,44
Minas Avetisyan,/en/minas-avetisyan,1928 - 1975,13
Alaa Awad,/en/alaa-awad,born 1981,32
Evelyne Axell,/en/evelyne-axell,1935 - 1972,28
Teodor Axentowicz,/en/teodor-axentowicz,1859 - 1938,26
Alice Aycock,/en/alice-aycock,born 1946,15
Ay-O,/en/ay-o,born 1931,15
Gillian Ayres,/en/gillian-ayres,born 1930,16
Anton Azbe,/en/anton-azbe,1862 - 1905,17
Azim Azimzade,/en/azim-azimzade,1880 - 1943,14
Aztec Art,/en/aztec-art,c.1300 - 1521,99
Deborah Azzopardi,/en/deborah-azzopardi,born 1958,20
Knud Baade,/en/knud-baade,1808 - 1879,26
Corneliu Baba,/en/corneliu-baba,1906 - 1997,38
Babak-Matveev,/en/art-tandem-bm-babak-matvieiev,born 2014,69
Alice Baber,/en/alice-baber,1928 - 1982,18
Branko Bačanović,/en/branko-bacanovic-bambi,born 1952,143
Marcello Bacciarelli,/en/marcello-bacciarelli,1731 - 1818,18
Harriet Backer,/en/harriet-backer,1845 - 1932,48
Francis Bacon,/en/francis-bacon,1909 - 1992,323
Jo Baer,/en/jo-baer,born 1929,18
Olle Baertling,/en/olle-baertling,1911 - 1981,17
Firmin Baes,/en/firmin-baes,1874 - 1943,12
Sattar Bahlulzade,/en/sattar-bahlulzadeh,1909 - 1974,55
Alice Bailly,/en/alice-bailly,1872 - 1938,14
David Bailly,/en/david-bailly,1584 - 1657,17
Enrico Baj,/en/enrico-baj,1924 - 2003,64
Samuel Bak,/en/samuel-bak,born 1933,17
Leon Bakst,/en/leon-bakst,1866 - 1924,106
Sabin Balasa,/en/sabin-balasa,1932 - 2008,65
John Baldessari,/en/john-baldessari,born 1931,18
Hans Baldung,/en/hans-baldung,c.1484 - 1545,100
Endre Balint,/en/endre-balint,1914 - 1986,26
Peder Balke,/en/peder-balke,born 1804,12
Giacomo Balla,/en/giacomo-balla,1871 - 1958,70
Jules-Frédéric Ballavoine,/en/jules-frederic-ballavoine,born c.1844,35
Mario Ballocco,/en/mario-ballocco,1913 - 2008,31
Adam Baltatu,/en/adam-baltatu,1899 - 1979,65
Balthus,/en/balthus,1908 - 2001,96
Octav Bancila,/en/octav-bancila,1872 - 1944,45
Joachim Bandau,/en/joachim-bandau,born 1936,19
Banksy,/en/banksy,born c.1974,30
Walter Darby Bannard,/en/walter-darby-bannard,born 1934,28
Edward Mitchell Bannister,/en/edward-mitchell-bannister,c.1828 - 1901,16
